GAME_ID,GAME_DATE,TEAM_ID_HOME,TEAM_ID_AWAY,TEAM_NAME_HOME,TEAM_NAME_AWAY,HOME_WIN,PTS_HOME,PTS_AWAY,FG_PCT_HOME,FG_PCT_AWAY,FG3_PCT_HOME,FG3_PCT_AWAY,FT_PCT_HOME,FT_PCT_AWAY,OREB_HOME,OREB_AWAY,DREB_HOME,DREB_AWAY,REB_HOME,REB_AWAY,AST_HOME,AST_AWAY,STL_HOME,STL_AWAY,BLK_HOME,BLK_AWAY,TOV_HOME,TOV_AWAY,PF_HOME,PF_AWAY,PLUS_MINUS_HOME,PLUS_MINUS_AWAY,MIN_HOME,MIN_AWAY
22200057,2022-10-26,1610612765,1610612737,Detroit Pistons,Atlanta Hawks,0,113,118,0.462,0.495,0.438,0.364,0.682,0.8,10,10,30,36,40,46,23,22,4,6,6,12,13,12,25,20,-5.0,5.0,241,239
22200062,2022-10-26,1610612750,1610612759,Minnesota Timberwolves,San Antonio Spurs,1,134,122,0.65,0.453,0.588,0.444,0.625,0.909,0,14,30,27,30,41,37,34,9,6,6,2,16,16,19,18,12.0,-12.0,240,240
22200059,2022-10-26,1610612761,1610612755,Toronto Raptors,Philadelphia 76ers,1,119,109,0.548,0.506,0.432,0.444,0.786,0.684,6,4,33,30,39,34,32,29,9,6,5,2,9,12,21,12,10.0,-10.0,238,240
22200067,2022-10-27,1610612760,1610612746,Oklahoma City Thunder,LA Clippers,1,118,110,0.495,0.537,0.447,0.321,0.875,0.722,13,10,23,34,36,44,27,21,10,6,4,5,11,19,21,17,8.0,-8.0,240,240
22200068,2022-10-27,1610612744,1610612748,Golden State Warriors,Miami Heat,1,123,110,0.5,0.443,0.391,0.326,0.867,0.818,16,8,34,23,50,31,30,25,4,16,2,5,19,12,13,15,13.0,-13.0,240,240
22200066,2022-10-27,1610612751,1610612742,Brooklyn Nets,Dallas Mavericks,0,125,129,0.462,0.506,0.343,0.5,0.9,0.771,13,7,32,30,45,37,20,25,10,8,6,4,13,17,28,23,-4.0,4.0,265,266
22200069,2022-10-27,1610612758,1610612763,Sacramento Kings,Memphis Grizzlies,0,110,125,0.482,0.533,0.316,0.424,0.818,0.722,9,11,31,32,40,43,28,27,5,5,2,3,13,12,20,18,-15.0,15.0,239,240
22200070,2022-10-28,1610612765,1610612737,Detroit Pistons,Atlanta Hawks,0,112,136,0.43,0.567,0.219,0.414,0.816,0.778,14,10,28,35,42,45,18,31,2,5,4,8,10,6,22,26,-24.0,24.0,239,241
22200076,2022-10-28,1610612750,1610612747,Minnesota Timberwolves,Los Angeles Lakers,1,111,102,0.414,0.416,0.325,0.31,0.667,0.704,14,12,35,43,49,55,27,20,13,8,8,5,10,22,21,21,9.0,-9.0,240,240
22200080,2022-10-28,1610612757,1610612745,Portland Trail Blazers,Houston Rockets,1,125,111,0.533,0.426,0.371,0.368,0.8,0.81,11,13,34,26,45,39,30,23,9,10,6,6,15,15,19,18,14.0,-14.0,240,240
22200072,2022-10-28,1610612738,1610612739,Boston Celtics,Cleveland Cavaliers,0,123,132,0.512,0.517,0.394,0.457,0.813,0.765,5,9,29,33,34,42,28,18,9,5,2,2,19,15,27,28,-9.0,9.0,265,265
22200074,2022-10-28,1610612764,1610612754,Washington Wizards,Indiana Pacers,0,117,127,0.477,0.506,0.4,0.517,0.821,0.909,9,5,29,36,38,41,25,30,5,4,3,7,13,13,23,19,-10.0,10.0,239,239
22200071,2022-10-28,1610612753,1610612766,Orlando Magic,Charlotte Hornets,1,113,93,0.494,0.384,0.27,0.289,0.731,0.667,5,10,43,37,48,47,28,21,8,3,5,4,12,14,22,18,20.0,-20.0,241,239
22200075,2022-10-28,1610612749,1610612752,Milwaukee Bucks,New York Knicks,1,119,108,0.385,0.398,0.289,0.343,0.815,0.688,19,13,41,41,60,54,23,19,8,6,8,5,6,12,23,19,11.0,-11.0,239,240
22200073,2022-10-28,1610612761,1610612755,Toronto Raptors,Philadelphia 76ers,0,90,112,0.384,0.524,0.231,0.421,0.625,0.909,15,7,30,34,45,41,20,25,9,11,5,6,17,14,15,20,-22.0,22.0,240,241
22200078,2022-10-28,1610612743,1610612762,Denver Nuggets,Utah Jazz,1,117,101,0.459,0.418,0.459,0.256,0.647,0.789,17,8,41,30,58,38,18,24,2,7,4,8,12,9,18,30,16.0,-16.0,239,237
22200079,2022-10-28,1610612756,1610612740,Phoenix Suns,New Orleans Pelicans,1,124,111,0.522,0.442,0.303,0.405,0.9,0.909,14,9,33,24,47,33,33,25,7,10,7,1,12,13,18,21,13.0,-13.0,241,240
22200077,2022-10-28,1610612759,1610612741,San Antonio Spurs,Chicago Bulls,1,129,124,0.535,0.475,0.421,0.333,0.808,0.808,8,15,34,27,42,42,37,20,7,13,3,3,20,12,17,19,5.0,-5.0,241,240
22200081,2022-10-29,1610612758,1610612748,Sacramento Kings,Miami Heat,1,119,113,0.553,0.427,0.452,0.393,0.724,0.839,6,9,37,25,43,34,27,18,1,7,6,3,20,8,29,25,6.0,-6.0,240,241
22200082,2022-10-29,1610612766,1610612744,Charlotte Hornets,Golden State Warriors,1,120,113,0.422,0.44,0.323,0.295,0.774,0.75,15,10,40,39,55,49,32,31,2,8,2,6,10,10,14,31,7.0,-7.0,265,266
22200083,2022-10-29,1610612751,1610612754,Brooklyn Nets,Indiana Pacers,0,116,125,0.5,0.426,0.359,0.5,0.769,0.846,6,17,28,36,34,53,29,31,6,7,9,1,9,10,20,25,-9.0,9.0,241,240
22200086,2022-10-29,1610612742,1610612760,Dallas Mavericks,Oklahoma City Thunder,0,111,117,0.4,0.494,0.2,0.2,0.794,0.774,12,9,37,38,49,47,17,25,8,9,5,6,16,15,30,29,-6.0,6.0,264,265
22200084,2022-10-29,1610612741,1610612755,Chicago Bulls,Philadelphia 76ers,0,109,114,0.45,0.494,0.355,0.483,0.897,0.815,9,8,31,33,40,41,22,28,7,8,3,6,18,17,20,22,-5.0,5.0,240,241
22200087,2022-10-29,1610612762,1610612763,Utah Jazz,Memphis Grizzlies,1,124,123,0.517,0.568,0.432,0.444,0.75,0.733,10,10,24,30,34,40,30,24,8,11,6,5,19,20,17,26,1.0,-1.0,241,240
22200085,2022-10-29,1610612749,1610612737,Milwaukee Bucks,Atlanta Hawks,1,123,115,0.489,0.479,0.389,0.448,0.655,0.8,14,12,35,30,49,42,24,19,8,5,5,2,11,12,18,23,8.0,-5.0,242,239
22200093,2022-10-30,1610612742,1610612753,Dallas Mavericks,Orlando Magic,1,114,105,0.494,0.457,0.314,0.379,0.75,0.741,5,11,32,36,37,47,15,20,10,2,1,5,4,12,22,23,9.0,-9.0,241,239
22200095,2022-10-30,1610612747,1610612743,Los Angeles Lakers,Denver Nuggets,1,121,110,0.479,0.427,0.433,0.375,0.8,0.722,13,13,38,35,51,48,24,24,5,3,5,8,8,9,17,15,11.0,-11.0,240,241
22200091,2022-10-30,1610612765,1610612744,Detroit Pistons,Golden State Warriors,1,128,114,0.482,0.424,0.424,0.308,0.895,0.96,12,13,35,29,47,42,24,23,4,8,3,4,15,14,25,24,14.0,-14.0,240,241
22200088,2022-10-30,1610612746,1610612740,LA Clippers,New Orleans Pelicans,0,91,112,0.419,0.495,0.282,0.417,0.615,0.625,8,12,31,38,39,50,24,32,3,9,6,1,14,10,15,15,-21.0,21.0,241,242
22200090,2022-10-30,1610612739,1610612752,Cleveland Cavaliers,New York Knicks,1,121,108,0.461,0.489,0.46,0.37,0.842,0.5,10,12,33,33,43,45,33,26,3,9,5,2,14,14,22,25,13.0,-13.0,238,240
22200094,2022-10-30,1610612756,1610612745,Phoenix Suns,Houston Rockets,1,124,109,0.536,0.437,0.3,0.324,0.733,0.846,10,17,26,32,36,49,29,18,9,7,8,1,11,15,22,25,15.0,-15.0,239,239
22200089,2022-10-30,1610612738,1610612764,Boston Celtics,Washington Wizards,1,112,94,0.456,0.388,0.447,0.219,0.95,0.688,4,15,43,36,47,51,29,22,4,5,5,6,13,8,15,20,18.0,-18.0,240,237
22200092,2022-10-30,1610612759,1610612750,San Antonio Spurs,Minnesota Timberwolves,1,107,98,0.419,0.404,0.4,0.138,0.76,0.7,14,16,38,29,52,45,27,21,6,11,7,7,19,11,21,23,9.0,-9.0,240,239
22200098,2022-10-31,1610612751,1610612754,Brooklyn Nets,Indiana Pacers,1,116,109,0.538,0.471,0.367,0.282,0.95,0.696,6,10,33,28,39,38,26,23,11,11,9,5,19,24,18,24,7.0,-7.0,240,241
22200100,2022-10-31,1610612749,1610612765,Milwaukee Bucks,Detroit Pistons,1,110,108,0.437,0.446,0.275,0.276,0.793,0.857,14,13,36,30,50,43,20,19,5,9,5,3,16,12,21,24,2.0,-2.0,240,241
22200102,2022-10-31,1610612746,1610612745,LA Clippers,Houston Rockets,1,95,93,0.425,0.386,0.25,0.286,0.706,0.739,8,7,38,37,46,44,23,17,7,9,10,8,13,13,18,16,2.0,-2.0,240,239
22200099,2022-10-31,1610612761,1610612737,Toronto Raptors,Atlanta Hawks,1,139,109,0.5,0.464,0.412,0.379,0.825,0.8,12,7,32,30,44,37,25,28,13,1,9,4,6,18,22,27,30.0,-30.0,238,238
22200101,2022-10-31,1610612762,1610612763,Utah Jazz,Memphis Grizzlies,1,121,105,0.472,0.413,0.404,0.231,0.818,0.548,11,18,37,34,48,52,26,14,10,8,6,4,15,16,30,17,16.0,-16.0,238,241
22200097,2022-10-31,1610612764,1610612755,Washington Wizards,Philadelphia 76ers,0,111,118,0.469,0.554,0.4,0.4,0.962,0.7,9,4,32,33,41,37,22,26,8,14,4,3,15,13,18,20,-7.0,7.0,241,239
22200096,2022-10-31,1610612766,1610612758,Charlotte Hornets,Sacramento Kings,0,108,115,0.512,0.435,0.483,0.386,0.571,0.857,6,10,32,32,38,42,31,26,11,8,6,4,20,19,26,19,-7.0,7.0,239,238
22200105,2022-11-01,1610612760,1610612753,Oklahoma City Thunder,Orlando Magic,1,116,108,0.474,0.448,0.294,0.345,0.8,1.0,8,12,28,37,36,49,28,20,13,7,9,10,15,24,17,14,8.0,-8.0,241,240
22200106,2022-11-01,1610612756,1610612750,Phoenix Suns,Minnesota Timberwolves,1,116,107,0.461,0.425,0.395,0.382,0.773,0.833,7,10,27,32,34,42,31,24,9,5,8,4,9,16,20,24,9.0,-9.0,239,240
22200104,2022-11-01,1610612748,1610612744,Miami Heat,Golden State Warriors,1,116,109,0.455,0.464,0.381,0.367,1.0,0.765,9,10,30,31,39,41,32,31,7,8,3,5,15,20,16,22,7.0,-7.0,241,240
22200103,2022-11-01,1610612751,1610612741,Brooklyn Nets,Chicago Bulls,0,99,108,0.486,0.438,0.375,0.4,0.789,0.857,4,11,34,33,38,44,27,20,4,8,7,4,18,9,20,13,-9.0,9.0,242,240
22200110,2022-11-02,1610612752,1610612737,New York Knicks,Atlanta Hawks,0,99,112,0.411,0.411,0.278,0.353,0.75,0.75,12,17,40,34,52,51,23,28,3,11,9,4,16,7,19,18,-13.0,13.0,240,239
